iter	RMSE
0	13.97501471
1	13.28719555
2	12.67001658
3	11.98281539
4	11.38479882
5	10.7374155
6	10.27743245
7	9.824785595
8	9.383537559
9	8.96927081
10	8.611289848
11	8.292245432
12	7.998866435
13	7.714522596
14	7.454261448
15	7.21188589
16	7.002081637
17	6.7844781
18	6.594215219
19	6.423487592
20	6.251985968
21	6.116839894
22	5.978553622
23	5.846034412
24	5.730474896
25	5.60995321
26	5.522523188
27	5.426888187
28	5.346038009
29	5.251047189
30	5.160939105
31	5.088366698
32	5.027170531
33	4.950930485
34	4.882220112
35	4.826480114
36	4.776476605
37	4.721497035
38	4.664280855
39	4.602804203
40	4.551329707
41	4.510345691
42	4.451197009
43	4.430721129
44	4.386300103
45	4.346366824
46	4.320186625
47	4.282146418
48	4.249641138
49	4.225528463
50	4.191765989
51	4.1539687
52	4.114985005
53	4.103616325
54	4.071158762
55	4.040819066
56	4.024547106
57	3.998177485
58	3.960054307
59	3.923881626
60	3.893241315
61	3.868131184
62	3.837686549
63	3.792743198
64	3.766968628
65	3.740204279
66	3.71352751
67	3.685737789
68	3.659602647
69	3.630885555
70	3.602534588
71	3.570907561
72	3.54564509
73	3.525252304
74	3.499716091
75	3.48032509
76	3.462948273
77	3.441911941
78	3.416585339
79	3.403089157
80	3.388607211
81	3.370303108
82	3.349292407
83	3.322514507
84	3.303113084
85	3.282889465
86	3.261586993
87	3.244973608
88	3.229592604
89	3.216438945
90	3.208347641
91	3.184975307
92	3.177775437
93	3.14935642
94	3.12811785
95	3.10928273
96	3.080585632
97	3.065268946
98	3.052585341
99	3.03834906
100	3.029231622
101	3.007387355
102	2.994304324
103	2.978367847
104	2.959105788
105	2.941101378
106	2.928793597
107	2.908221909
108	2.890409845
109	2.874719529
110	2.864600429
111	2.844656924
112	2.826159856
113	2.816592602
114	2.803376957
115	2.775287005
116	2.758419812
117	2.744555704
118	2.734730818
119	2.7260042
120	2.717244495
121	2.699286001
122	2.681410469
123	2.674040117
124	2.665186986
125	2.653480291
126	2.638523042
127	2.623459982
128	2.596765659
129	2.590067567
130	2.570230742
131	2.556608204
132	2.540265686
133	2.525216627
134	2.510674942
135	2.499628674
136	2.489073426
137	2.463282583
138	2.450967219
139	2.429875231
140	2.422310261
141	2.407952707
142	2.396850655
143	2.385829178
144	2.368709076
145	2.343179303
146	2.336113383
147	2.320725541
148	2.304846366
149	2.297060586
150	2.288510791
151	2.268929216
152	2.26035368
153	2.246700127
154	2.224524664
155	2.217017353
156	2.201563224
157	2.184752574
158	2.163657988
159	2.146580494
160	2.126200595
161	2.120313165
162	2.103824024
163	2.089963518
164	2.078422963
165	2.073036799
166	2.063434585
167	2.050958101
168	2.037307273
169	2.029025399
170	2.023484278
171	2.017999529
172	2.011838749
173	2.003599876
174	1.998984235
175	1.98903338
176	1.985331685
177	1.970931271
178	1.95581222
179	1.945149903
180	1.939983988
181	1.922629445
182	1.911353317
183	1.905549076
184	1.898641951
185	1.894938755
186	1.878958661
187	1.869569148
188	1.858958649
189	1.850801947
190	1.841610525
191	1.830127461
192	1.825668219
193	1.816473515
194	1.803789465
195	1.799848828
196	1.799601861
197	1.795515218
198	1.78721676
199	1.774025355
200	1.77390396
201	1.770270295
202	1.770012934
203	1.75552544
204	1.741959983
205	1.738001414
206	1.728511075
207	1.716964698
208	1.715966902
209	1.70640896
210	1.694099535
211	1.693253407
212	1.684434683
213	1.678219534
214	1.663165943
215	1.650111011
216	1.645367452
217	1.644070113
218	1.642989768
219	1.631437251
220	1.620771079
221	1.610856844
222	1.598615768
223	1.593709068
224	1.586829818
225	1.584301179
226	1.573072729
227	1.563368518
228	1.554056225
229	1.543571472
230	1.533648262
231	1.52323102
232	1.51908628
233	1.509818191
234	1.500253506
235	1.493164693
236	1.485964026
237	1.475207076
238	1.466885143
239	1.461738379
240	1.457259153
241	1.451974682
242	1.442283567
243	1.439308621
244	1.432261114
245	1.426383957
246	1.420344036
247	1.413816259
248	1.413342924
249	1.408964878
250	1.400535357
251	1.397977593
252	1.390906705
253	1.384200307
254	1.375386846
255	1.364923199
256	1.359730065
257	1.352625016
258	1.352147206
259	1.34350744
260	1.342518247
261	1.338620623
262	1.333787712
263	1.329129991
264	1.319499566
265	1.313403161
266	1.306188203
267	1.305034024
268	1.304434624
269	1.299514488
270	1.291966902
271	1.287768547
272	1.282079558
273	1.275470027
274	1.267329159
275	1.265926542
276	1.260339712
277	1.258023721
278	1.255230245
279	1.254295429
280	1.24646911
281	1.242006416
282	1.235529758
