iter	Passed	Remaining
0	6	2752
1	7	1534
2	20	2729
3	28	2779
4	55	4372
5	58	3848
6	78	4399
7	88	4341
8	89	3866
9	99	3887
10	101	3587
11	110	3559
12	117	3492
13	117	3252
14	123	3159
15	133	3200
16	141	3186
17	148	3154
18	158	3174
19	167	3191
20	181	3267
21	190	3276
22	197	3242
23	206	3239
24	211	3174
25	219	3153
26	230	3190
27	242	3222
28	250	3203
29	261	3229
30	270	3219
31	271	3119
32	272	3026
33	277	2989
34	290	3030
35	296	2996
36	305	2992
37	310	2959
38	321	2977
39	330	2976
40	337	2954
41	345	2948
42	355	2953
43	356	2883
44	369	2916
45	375	2889
46	380	2861
47	387	2838
48	392	2810
49	397	2782
50	406	2780
51	421	2819
52	446	2920
53	446	2861
54	462	2900
55	469	2882
56	479	2887
57	484	2855
58	494	2855
59	499	2829
60	504	2803
61	511	2788
62	516	2760
63	528	2774
64	540	2784
65	550	2783
66	559	2779
67	563	2752
68	575	2759
69	579	2732
70	589	2730
71	598	2725
72	607	2721
73	611	2694
74	621	2692
75	627	2675
76	638	2676
77	646	2668
78	656	2665
79	661	2645
80	670	2641
81	676	2622
82	683	2609
83	690	2598
84	698	2588
85	705	2575
86	711	2559
87	723	2565
88	735	2570
89	742	2558
90	753	2558
91	760	2546
92	771	2545
93	781	2545
94	789	2533
95	801	2537
96	808	2526
97	819	2525
98	824	2506
99	833	2500
100	837	2480
101	844	2468
102	851	2454
103	856	2436
104	865	2432
105	870	2414
106	879	2408
107	884	2390
108	889	2373
109	898	2369
110	902	2350
111	910	2340
112	914	2322
113	919	2306
114	928	2301
115	933	2284
116	941	2276
117	947	2264
118	951	2247
119	960	2241
120	965	2227
121	973	2219
122	978	2202
123	983	2188
124	992	2182
125	997	2168
126	1006	2162
127	1010	2147
128	1016	2134
129	1034	2148
130	1043	2143
131	1077	2187
132	1087	2182
133	1121	2225
134	1128	2214
135	1152	2238
136	1161	2230
137	1170	2222
138	1174	2206
139	1179	2190
140	1188	2183
141	1192	2167
142	1202	2161
143	1207	2147
144	1212	2132
145	1221	2125
146	1226	2111
147	1235	2103
148	1239	2088
149	1245	2075
150	1253	2067
151	1258	2052
152	1264	2041
153	1270	2030
154	1275	2015
155	1284	2008
156	1288	1993
157	1293	1980
158	1303	1975
159	1310	1965
160	1318	1957
161	1323	1943
162	1332	1937
163	1336	1923
164	1342	1911
165	1350	1903
166	1354	1890
167	1365	1885
168	1369	1871
169	1375	1860
170	1381	1850
171	1386	1837
172	1393	1829
173	1400	1818
174	1404	1805
175	1413	1799
176	1419	1788
177	1428	1781
178	1432	1768
179	1439	1759
180	1442	1745
181	1447	1733
182	1454	1724
183	1460	1714
184	1465	1702
185	1474	1696
186	1478	1684
187	1483	1673
188	1493	1666
189	1498	1656
190	1506	1648
191	1512	1638
192	1522	1632
193	1528	1622
194	1533	1612
195	1541	1604
196	1542	1589
197	1546	1578
198	1555	1571
199	1561	1561
200	1561	1546
201	1569	1537
202	1570	1524
203	1576	1514
204	1581	1504
205	1589	1496
206	1594	1486
207	1601	1478
208	1608	1470
209	1616	1462
210	1621	1452
211	1626	1442
212	1636	1436
213	1641	1426
214	1650	1420
215	1655	1410
216	1660	1400
217	1667	1392
218	1671	1381
219	1678	1372
220	1685	1365
221	1690	1355
222	1699	1348
223	1703	1338
224	1712	1332
225	1717	1322
226	1722	1312
227	1734	1308
228	1738	1298
229	1747	1291
230	1752	1282
231	1759	1274
232	1765	1265
233	1769	1255
234	1778	1248
235	1782	1238
236	1789	1230
237	1796	1222
238	1800	1213
239	1810	1206
240	1814	1197
241	1819	1188
242	1828	1181
243	1832	1171
244	1842	1165
245	1846	1155
246	1851	1147
247	1861	1140
248	1863	1129
249	1869	1121
250	1876	1113
251	1880	1104
252	1887	1096
253	1893	1088
254	1898	1079
255	1907	1073
256	1913	1064
257	1921	1057
258	1923	1046
259	1928	1038
260	1937	1031
261	1942	1023
262	1947	1014
263	1955	1007
264	1960	998
265	1967	991
266	1974	983
267	1978	974
268	1987	967
269	1992	959
270	2000	952
271	2005	943
272	2010	935
273	2019	928
274	2025	920
275	2033	913
276	2037	904
277	2043	896
278	2051	889
279	2056	881
280	2064	874
281	2069	865
282	2077	858
