iter	Passed	Remaining
0	62	62677
1	65	32599
2	66	22080
3	67	16847
4	68	13569
5	69	11449
6	69	9917
7	70	8767
8	71	7878
9	72	7140
10	73	6570
11	73	6068
12	74	5657
13	75	5313
14	76	5055
15	78	4853
16	79	4613
17	80	4381
18	80	4174
19	81	3994
20	82	3837
21	83	3692
22	83	3550
23	84	3424
24	84	3304
25	85	3205
26	86	3117
27	87	3026
28	87	2945
29	88	2870
30	89	2799
31	90	2735
32	92	2707
33	93	2660
34	94	2597
35	94	2535
36	95	2476
37	95	2420
38	96	2367
39	96	2316
40	96	2268
41	97	2229
42	98	2190
43	98	2150
44	99	2118
45	100	2087
46	101	2059
47	104	2073
48	110	2142
49	112	2136
50	113	2105
51	113	2073
52	114	2044
53	114	2013
54	116	1993
55	116	1963
56	116	1934
57	117	1907
58	117	1881
59	118	1856
60	119	1835
61	119	1814
62	122	1817
63	123	1799
64	124	1784
65	124	1767
66	125	1750
67	126	1734
68	127	1720
69	128	1705
70	129	1691
71	129	1675
72	130	1662
73	131	1648
74	132	1634
75	133	1622
76	134	1609
77	135	1598
78	137	1602
79	138	1589
80	139	1579
81	139	1566
82	140	1550
83	141	1540
84	142	1528
85	143	1519
86	144	1511
87	145	1506
88	146	1496
89	147	1493
90	148	1482
91	149	1472
92	150	1463
93	150	1454
94	151	1447
95	152	1440
96	153	1431
97	154	1422
98	155	1412
99	156	1404
100	157	1399
101	158	1394
102	158	1383
103	159	1373
104	159	1362
105	160	1351
106	160	1341
107	161	1332
108	162	1324
109	162	1318
110	165	1326
111	166	1319
112	167	1312
113	168	1306
114	168	1299
115	169	1291
116	170	1284
117	170	1277
118	171	1273
119	172	1267
120	173	1261
121	174	1253
122	174	1247
123	175	1241
124	176	1233
125	177	1228
126	177	1221
127	180	1230
128	182	1231
129	183	1226
130	184	1220
131	184	1215
132	185	1210
133	186	1204
134	187	1198
135	187	1193
136	188	1189
137	189	1183
138	190	1178
139	191	1173
140	191	1168
141	192	1160
142	192	1153
143	193	1150
144	194	1144
145	195	1144
146	196	1138
147	196	1132
148	197	1125
149	197	1119
150	200	1127
151	201	1122
152	201	1117
153	202	1112
154	203	1108
155	204	1104
156	204	1099
157	205	1095
158	206	1091
159	207	1087
160	207	1081
161	208	1078
162	210	1082
163	211	1078
164	212	1074
165	213	1070
166	213	1066
167	214	1063
168	215	1059
169	216	1055
170	216	1051
171	217	1047
172	218	1044
173	219	1040
174	220	1038
175	221	1035
176	221	1032
177	224	1037
178	225	1035
179	226	1031
180	227	1027
181	227	1024
182	228	1021
183	229	1017
184	230	1014
185	231	1011
186	231	1008
187	232	1005
188	233	1001
189	234	999
190	235	996
191	235	992
192	236	988
193	236	984
194	239	987
195	240	984
196	240	981
197	241	977
198	242	975
199	242	971
200	243	969
201	244	966
202	245	962
203	246	959
204	246	956
205	247	952
206	247	948
207	248	944
208	248	940
209	248	936
210	249	932
211	250	930
212	251	929
213	253	929
214	253	926
215	254	924
216	255	922
217	256	919
218	257	917
219	257	914
220	258	911
221	259	909
222	260	907
223	261	904
224	261	902
225	262	899
226	263	897
227	264	894
228	265	892
229	267	896
230	268	894
231	269	891
232	270	890
233	271	888
234	272	886
235	273	884
236	274	882
237	275	880
238	275	877
239	276	875
240	276	872
241	278	871
242	278	868
243	279	866
244	280	864
245	282	866
246	283	863
247	284	862
248	285	860
249	285	857
250	286	855
251	287	852
252	287	850
253	288	846
254	288	843
255	289	840
256	289	838
257	290	836
258	292	838
259	293	835
260	294	833
261	296	834
262	297	832
263	297	830
264	298	827
265	299	825
266	299	822
267	300	820
268	300	817
269	301	815
270	302	813
271	303	811
272	303	808
273	305	808
274	306	807
275	308	808
276	308	805
277	313	814
278	314	812
279	314	809
280	315	806
281	315	804
282	316	802
283	317	799
284	318	797
285	318	795
286	319	794
287	320	792
288	321	790
289	321	788
290	323	787
291	323	784
292	324	782
293	326	783
294	328	784
295	329	783
296	329	780
297	330	778
298	331	776
299	331	774
300	332	771
301	332	768
302	333	766
303	335	767
304	336	766
305	336	764
306	337	762
307	338	760
308	339	758
309	340	757
310	340	755
311	341	753
312	342	751
313	343	749
314	344	748
315	345	746
316	345	744
317	346	743
318	347	741
319	348	739
320	348	737
321	349	736
322	350	734
323	351	733
324	352	731
325	353	730
326	354	728
327	354	727
328	355	725
329	356	723
330	357	721
331	357	720
332	358	718
333	359	716
334	359	714
335	360	711
336	360	709
337	361	707
338	362	705
339	362	704
340	363	702
341	364	700
342	364	699
343	365	697
344	368	699
345	369	697
346	370	696
347	370	694
348	371	693
349	372	691
350	373	689
351	374	689
352	375	687
353	375	685
354	376	684
355	377	682
356	378	681
357	378	679
358	379	677
359	380	676
360	382	676
361	382	674
362	383	673
363	384	672
364	385	670
365	386	668
366	387	667
367	387	666
368	388	664
369	389	663
370	390	661
371	391	660
372	401	674
373	402	673
374	403	672
375	403	670
376	404	667
377	404	666
378	405	664
379	406	662
380	406	660
381	407	658
382	407	656
383	408	654
384	408	653
385	409	652
386	410	650
387	412	650
388	412	648
389	413	646
390	414	645
391	414	643
392	415	641
393	416	639
394	416	638
395	417	637
396	418	635
397	419	634
398	420	633
399	421	631
400	421	630
401	422	628
402	423	626
403	423	625
404	426	625
405	426	624
406	427	623
407	428	621
408	429	620
409	429	618
410	430	617
411	431	615
412	432	614
413	432	612
414	433	611
415	433	609
416	434	608
417	435	606
418	436	604
419	437	603
420	437	601
421	438	600
422	441	602
423	442	600
424	442	598
425	443	597
426	443	595
427	444	593
428	444	591
429	445	590
430	452	597
431	453	595
432	453	594
433	455	594
434	456	592
435	457	591
436	458	590
437	458	588
438	459	587
439	460	586
440	461	584
441	461	583
442	462	581
443	463	580
444	464	579
445	465	577
446	465	575
447	466	574
448	466	572
449	467	571
450	468	570
451	469	569
452	470	568
453	471	566
454	472	565
455	472	564
456	473	562
457	474	561
458	475	560
459	475	558
460	476	557
461	477	556
462	478	554
463	479	553
464	479	552
465	480	550
466	481	550
467	484	550
468	485	549
469	486	548
470	486	546
471	487	544
472	487	543
473	488	542
474	489	540
475	490	539
476	490	538
477	493	538
478	493	536
479	494	535
480	494	533
481	495	532
482	496	530
483	497	530
484	499	530
485	500	528
486	500	527
487	501	525
488	501	524
489	502	522
490	503	521
491	503	519
492	504	518
493	505	517
494	506	516
495	506	515
496	507	513
497	508	512
498	509	511
499	510	510
500	511	509
501	511	507
502	512	506
503	513	505
504	514	504
505	515	502
506	516	501
507	516	500
508	517	499
509	518	498
510	519	496
511	519	495
512	520	494
513	520	492
514	522	492
515	524	491
516	528	494
517	531	494
518	531	492
519	534	493
520	534	491
521	535	490
522	535	488
523	536	487
524	537	486
525	538	485
526	540	485
527	541	483
528	542	482
529	542	481
530	543	480
531	544	478
532	545	477
533	545	476
534	546	475
535	547	473
536	548	472
537	548	471
538	549	470
539	550	469
540	551	467
541	552	466
542	553	465
543	554	464
544	554	463
545	555	461
546	556	460
547	556	459
548	557	458
549	558	457
550	559	455
551	560	454
552	561	453
553	561	452
554	562	451
555	563	450
556	564	448
557	565	447
558	566	447
559	567	445
560	568	444
561	568	443
562	569	442
563	570	440
564	570	439
565	571	438
566	572	436
567	572	435
568	573	434
569	574	433
570	575	432
571	575	430
572	576	429
573	577	428
574	578	427
575	579	426
576	580	425
577	580	424
578	581	422
579	582	421
580	583	420
581	583	419
582	584	418
583	585	417
584	586	416
585	587	414
586	587	413
587	588	412
588	589	411
589	590	410
590	591	409
591	592	408
592	593	407
593	593	405
594	594	404
595	595	403
596	597	403
597	598	402
598	599	401
599	599	399
600	600	398
601	601	397
602	602	396
603	603	395
604	603	394
605	605	393
606	606	392
607	607	391
608	608	390
609	608	389
610	609	388
611	610	387
612	611	385
613	611	384
614	612	383
